ID;birthcountry;age;colorblind;gender;experience;maptype;city1;city2;city3;city4;city5;city6;city7;city8;city9;city10;city11
292;United States;48;No;Female;Yes;s;mustang;ajax;arcadia;lakhoma;athenia;centralia;;;;;
294;Germany;35;No;Male;Yes;b;roscovina;centralia;cheyana;;;;;;;;
296;Colombia;25;No;Female;No;b;central;;;;;;;;;;
298;Canada;41;No;Female;No;b;roscovina;athenia;mustang;centralis;arcadia;;;;;;
299;United Kingdom;59;No;Male;Yes;b;roscovonia;brevia;centralia;;;;;;;;
300;United States;35;No;Diverse;No;b;rosnovia;ajax;;;;;;;;;
301;Germany;55;No;Male;Yes;s;ajax;mustang;cheyenna;kara;;;;;;;
302;United States;55;No;Male;Yes;s;cheyenna;mustang;ajax;arcadia;centralis;;;;;;
303;United Kingdom;43;No;Female;No;s;kara;mustang;centralis;bravia;revenia;ajax;athenia;harvour;luxhom;;
306;United States;55;No;Diverse;No;s;cheyenna;mustang;centralia;ajax;rostinia;athenia;;;;;
307;United Kingdom;38;No;Diverse;No;b;ajax;brevia;centralis;mustang;chayenna;;;;;;
313;Canada;35;No;Male;No;s;roscovina;ajax;cheyenna;centralia;rava;;;;;;
314;Germany;44;No;Female;No;b;cheyenna;lakhoma;mustang;centralia;;;;;;;
315;Other / I'd rather not say;;No;I'd rather not say;No;b;mustang;centralis;arcadia;roscovina;ajax;cheyenna;kara;brevia;havare;lakhoma;
316;Germany;71;No;Male;Yes;b;roscovinia;athenia;;;;;;;;;
317;United Kingdom;34;No;Male;No;b;central;;;;;;;;;;
318;United Kingdom;54;No;Male;No;s;roscovinia;brevia;ajax;athenia;cheyenne;;;;;;
320;Austria;31;No;Male;No;s;arcadia;mustang;athenia;centralia;ajaxa;raviolia;larantis;;;;
321;United Kingdom;46;No;Male;No;s;centralia;ajax;mustang;;;;;;;;
323;Canada;37;No;Male;Yes;b;roscovina;athena;ajax;;;;;;;;
330;Canada;60;No;Female;No;b;oklahoma;cascadia;;;;;;;;;
332;United States;72;No;Female;Yes;b;mustang;ajax;roscovenia;athenia;;;;;;;
333;Canada;41;No;Male;No;s;ajax;centralia;brexa;mustang;;;;;;;
335;Other / I'd rather not say;;No;I'd rather not say;Yes;b;chevania;;;;;;;;;;
337;United States;69;No;Female;Yes;s;havaria;rosonia;mustang;ajax;havar;a;;;;;
341;United States;46;No;Male;No;s;mustang;centralia;roscovina;brevia;ajax;lakhoma;cheyenna;athenia;;;
342;United States;68;No;Male;No;s;ajax;kara;lakhoma;centralis;brevia;mustang;;;;;
344;United States;46;No;Male;No;b;athenia;roscovina;;;;;;;;;
348;Latvia;40;No;Male;No;s;cheyenna;ajax;roscovia;brevia;centralia;mustang;;;;;
349;United States;56;No;Female;No;s;centralis;roxania;;;;;;;;;
350;Brazil;54;No;Male;No;b;cheyena;athena;;;;;;;;;
351;Mexico;52;No;Male;Yes;s;cheyena;lakhrona;ajax;kara;athena;centralis;mustang;;;;
354;United States;56;No;Female;No;b;roscovina;athenia;mustang;;;;;;;;
358;United States;62;No;Male;Yes;b;chenyia;athenia;;;;;;;;;
360;Canada;50;No;Male;Yes;b;athena;kars;rosconova;ajax;;;;;;;
361;United States;55;No;Diverse;No;b;roscovina;athenia;mustang;cheyenna;arcadia;;;;;;
363;Canada;53;No;Female;Yes;b;mustang;ajax;cheyenna;athenia;;;;;;;
367;United Kingdom;30;No;Diverse;No;s;mustang;avaria;centralis;havare;boscovinia;athenia;lakhoma;ajax;;;
373;United States;53;No;Male;Yes;s;ajax;athenia;brevia;arcadia;kara;havare;roscovina;lakhoma;centralis;cheyenna;
374;France;33;No;Male;Yes;s;mustang;ajax;arcadia;kovaire;athenia;roscovia;lakhoma;;;;
375;Netherlands;47;No;Male;Yes;s;ajax;brevia;athena;;;;;;;;
376;United States;45;No;Male;No;s;athenia;ajax;arcadia;mustang;kara;brevia;lakhoma;;;;
377;Germany;57;No;Male;No;b;roscovina;;;;;;;;;;
378;Sweden;57;No;Male;Yes;b;cheyenna;ajax;arcadia;mustang;havare;;;;;;
379;Germany;49;No;Male;Yes;b;cheyenna;athena;mustang;;;;;;;;
380;Germany;32;No;Female;No;b;ajax;mustang;athenia;chennya;centralis;roscowa;;;;;
381;Estonia;43;No;Male;Yes;b;kara;centralia;athenia;;;;;;;;
384;Germany;52;No;Male;Yes;b;cheyenne;ajax;roscovinya;lakhoma;kara;athenia;arcadia;mustang;centralis;;
386;Sweden;29;No;I'd rather not say;No;s;chejena;ajax;kara;mustang;athenia;centralis;nuscovenia;;;;
387;United States;39;No;Female;Yes;b;chennya;roscovinia;athenia;mustang;;;;;;;
390;Germany;39;No;Male;No;s;havare;centralia;arcadie;kara;lakhome;brevia;ajax;;;;
391;France;42;No;Male;No;s;ajaxia;centralis;athenia;;;;;;;;
392;United Kingdom;45;No;Diverse;No;b;brevia;;;;;;;;;;
393;Germany;24;No;Male;No;b;roscovina;athenia;cheyenne;;;;;;;;
394;Austria;31;No;Male;No;b;athenia;roscovina;mustang;cheyenne;ajax;centralia;;;;;
396;United States;60;No;Male;No;s;mustang;;;;;;;;;;
397;United States;70;No;Female;No;b;roscovina;lakhoma;athenia;cheyenna;ajax;centralis;midianis;;;;
398;United States;24;No;Female;No;b;athenia;centralia;mustang;acadia;;;;;;;
400;Other / I'd rather not say;70;No;Female;No;b;athenia;havare;;;;;;;;;
401;Canada;35;No;Diverse;No;b;roscovina;cheyenna;ajax;mustang;;;;;;;
403;South Africa;42;No;Male;Yes;s;cheyana;rovinha;;;;;;;;;
404;Germany;40;No;Male;No;b;centralis;cheyenna;by;;;;;;;;
405;United States;38;No;Male;No;b;roscovinia;athenia;cheyena;;;;;;;;
411;United States;69;Yes;Male;No;b;cheyenna;roscovia;mustang;arcadia;haarve;centralis;;;;;
