ID;birthcountry;age;colorblind;gender;experience;maptype;place1;place2;place3;place4;place5;place6;place7;place8;place9;place10;place11;place12;place13;place14;place15;place16;place17;place18;place19
238;United States;37;No;Diverse;Yes;b;harborside ave;central plaza;superior hotel;street 1;street 2;street 3;street 4;street 5;street 6;street 7;street 8;memorial;;;;;;;
244;France;42;No;Male;No;s;roscovian bank;;;;;;;;;;;;;;;;;;
248;United States;49;No;Female;No;b;randalia monument;randalia square;roscovinia city library;roscovinia bank;streets 1-8;hydra avenue;;;;;;;;;;;;;
250;France;31;No;Male;No;b;dolby park;;;;;;;;;;;;;;;;;;
251;Finland;48;No;Female;No;b;superior hotel;;;;;;;;;;;;;;;;;;
255;Finland;37;No;Diverse;No;s;;;;;;;;;;;;;;;;;;;
256;United States;44;No;Male;No;b;;;;;;;;;;;;;;;;;;;
258;Colombia;26;No;Female;No;s;;;;;;;;;;;;;;;;;;;
264;United States;27;No;Male;No;b;bank of randalia;hotel ravnia;randalia monument;empire avenue;harborview avenue;st. victor's cathedral;the mill;dolby park;;;;;;;;;;;
267;Canada;36;No;Male;No;b;empire avenue;harbourside boulevard;street 1;street 2;street 3;roskovina museum;;;;;;;;;;;;;
273;Netherlands;41;No;Male;Yes;b;randalia monument;1st street;2nd street;street 3;street 4;;;;;;;;;;;;;;
279;Netherlands;31;No;Male;No;b;lucy statue;harbourside;empire avenue;7th street;6th street;5th street;4th street;green harbour;;;;;;;;;;;
280;Sweden;25;No;Male;No;s;empire avenue;;bank of randalia;street 1;street 2;street 3;street 4;street 5;street 6;street 7;;;;;;;;;
283;Germany;39;No;Male;No;b;st. michal's cathedral;roscovina bank;civic centre theater;dorsey street;harborside boulevard;;;;;;;;;;;;;;
284;United States;55;Yes;Male;Yes;s;midtown medical center;harborside boulevard;;;;;;;;;;;;;;;;;
285;Germany;39;No;Male;No;s;lucy statue;harbor park;cathedral;midtown medical center;;;;;;;;;;;;;;;
286;Belgium;44;No;Female;No;s;st michael cathedral;;;;;;;;;;;;;;;;;;
287;United Kingdom;47;No;Male;No;b;dolby park;harbor green;lucy statue;roscovia monument;cathedral;movie theatre;bank of roscovia;;;;;;;;;;;;
288;United Kingdom;38;No;Male;No;b;at michaels cathedral;randalian bank;superior hotel;;;;;;;;;;;;;;;;
292;United States;48;No;Female;Yes;s;university;cathedral;arts center;medical center;monument;;;;;;;;;;;;;;
294;Germany;35;No;Male;Yes;b;hotel superior;the mill;roscovina bank;roscovina hill;;;;;;;;;;;;;;;
296;Colombia;25;No;Female;No;s;baloo teamo;;;;;;;;;;;;;;;;;;
298;Canada;41;No;Female;No;b;randalia tower;hotel;;;;;;;;;;;;;;;;;
299;United Kingdom;59;No;Male;Yes;b;dolby square;;;;;;;;;;;;;;;;;;
300;United States;35;No;Diverse;No;b;;;;;;;;;;;;;;;;;;;
301;Germany;55;No;Male;Yes;s;rondovia art museum;city hall;st matthew church;ra socia tower;;;;;;;;;;;;;;;
302;United States;55;No;Male;Yes;b;the mill;harbor green;roscovina art museum;;;;;;;;;;;;;;;;
303;United Kingdom;43;No;Female;No;b;dolby avenue;civic centre;bank;dolby park;ransoda monument;university;rosa monument;;;;;;;;;;;;
306;United States;55;No;Diverse;No;s;didn't learn the names, focused on how many of what;bank of randalia;rosco park;;;;;;;;;;;;;;;;
307;United Kingdom;38;No;Diverse;No;s;roscovina bank;st michael's cathedral;the mill;lucy statue;;;;;;;;;;;;;;;
313;Canada;35;No;Male;No;b;harbor green;randalia monument;bank of randalia;embers;ingersoll ave;hydra st;;;;;;;;;;;;;
314;Germany;44;No;Female;No;b;randalia tower;randalia monument;st victors cathedral;st michaels cathedral;the mill;lucy monument;bank of randalia;bank of roscovina;civic theatre;harbor green;;;;;;;;;
315;Other / I'd rather not say;;No;I'd rather not say;No;s;;;;;;;;;;;;;;;;;;;
316;Germany;71;No;Male;Yes;s;museum;restaurant;cathedral;hotels;;;;;;;;;;;;;;;
317;United Kingdom;34;No;Male;No;b;the mill;agnas theatre;bank of ratalin;roslins monument;hospital;;;;;;;;;;;;;;
318;United Kingdom;54;No;Male;No;s;;;;;;;;;;;;;;;;;;;
320;Austria;31;No;Male;No;s;randalia statue;st victor cathedral;lucy statue;roscovia library;street 6;;;;;;;;;;;;;;
321;United Kingdom;46;No;Male;No;b;hotel superior;harbourside boulevard;agnes theatre;bank of rodania;;;;;;;;;;;;;;;
323;Canada;37;No;Male;Yes;b;randalia monument;;;;;;;;;;;;;;;;;;
330;Canada;60;No;Female;No;b;lucy tower;rosconia library;the mill;rosconia bank;;;;;;;;;;;;;;;
332;United States;72;No;Female;Yes;s;civic center;church;museum;arts center;dolby park;;;;;;;;;;;;;;
333;Canada;41;No;Male;No;b;lucy status;randalian monument;;;;;;;;;;;;;;;;;
335;Other / I'd rather not say;;No;I'd rather not say;Yes;s;lucy statue;;;;;;;;;;;;;;;;;;
337;United States;69;No;Female;Yes;s;dolby park;hotel;grand park;hotel;theatre;restaurant;hotel;theatre;green;restaurant;;;;;;;;;
341;United States;46;No;Male;No;b;st. michaels cathedral;roscovina library;midtown theatre;meditation center;roscovina bank;hotel;;;;;;;;;;;;;
342;United States;68;No;Male;No;b;embers;;;;;;;;;;;;;;;;;;
344;United States;46;No;Male;No;b;hotel superior;midtown medical center;cathedral;library;harborview st;randalia monument;;;;;;;;;;;;;
348;Latvia;40;No;Male;No;b;st. michael's cathedral;st. victor's cathedral;lucy statue;roscovia art museum;ingersoll avenue;hotel superior;roscovia medical centre;;;;;;;;;;;;
349;United States;56;No;Female;No;s;city library;hotel superior;randalian bank;st vincents cathedral;harbor park;xavier hotel;;;;;;;;;;;;;
350;Brazil;54;No;Male;No;b;harborside boulevard;empire avenue;ravinia monument;st. michel's church;;;;;;;;;;;;;;;
351;Mexico;52;No;Male;Yes;s;randalia hotel;dolb park;bank of randalia;hotel superior;medical center;st michael's cathedral;lucy statue;;;;;;;;;;;;
354;United States;56;No;Female;No;b;lucy statue;randalia monument;bank of roscovina;harborside boulevard;;;;;;;;;;;;;;;
358;United States;62;No;Male;Yes;b;lucy;harborside ave;bank of roscovinia;theatre;museum;roscovinia monument;;;;;;;;;;;;;
360;Canada;50;No;Male;Yes;b;hydra;ingersol;;;;;;;;;;;;;;;;;
361;United States;55;No;Diverse;No;b;hydra ave;victor chapel;lucy statue;the mill;empire st;harbor park;hospital;inversol st;;;;;;;;;;;
363;Canada;53;No;Female;Yes;s;dolby park;empire st;the mill;;;;;;;;;;;;;;;;
367;United Kingdom;30;No;Diverse;No;b;randalia monument;randalia tower;;;;;;;;;;;;;;;;;
373;United States;53;No;Male;Yes;b;dolby park;harborside;empire;embers;lucy statue;randalia monument;st michael's cathedral;;;;;;;;;;;;
374;France;33;No;Male;Yes;b;empire avenue;dorsey;roscovia bank;harbor green;;;;;;;;;;;;;;;
375;Netherlands;47;No;Male;Yes;s;roscovia theatre;randalia statue;xavier hotel;;;;;;;;;;;;;;;;
377;Germany;57;No;Male;No;s;dolby park;;;;;;;;;;;;;;;;;;
378;Sweden;57;No;Male;Yes;b;;;;;;;;;;;;;;;;;;;
379;Germany;49;No;Male;Yes;s;;;;;;;;;;;;;;;;;;;
380;Germany;32;No;Female;No;s;superior hotel;monument;park;;;;;;;;;;;;;;;;
381;Estonia;43;No;Male;Yes;s;a something bank;something museum;street 1;street 2;street 3;street 4;street 5;street 6;empire avenue;;;;;;;;;;
